id;histo;tag;hrs;gx;gy;gz;ax;ay;az;vx;vy;vz;px;py;pz
2;1;1;4373000;0;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3;1;1;4374000;0;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4;1;1;4375000;0;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
5;1;1;4376000;0;0;0;-0.000000;-0.980192;0.198018;-0.000000;-0.490096;0.099009;-0.000000;-0.245048;0.049504
6;1;1;4377000;0;0;0;-0.000000;-0.924125;0.382086;-0.000000;-1.442254;0.389061;-0.000000;-1.211223;0.293539
7;1;1;4378000;0;0;0;-0.000000;-0.838868;0.544334;-0.000000;-2.323750;0.852271;-0.000000;-3.094225;0.914205
